________________________________________________________________________________
Marvellous Infosystems Process Logger : Thu Jun  6 22:04:52 2024
________________________________________________________________________________

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'msedge.exe', 'pid': 9612, 'username': 'MAHESH\\mahes', 'vms': 8.17578125}
{'name': 'svchost.exe', 'pid': 9668, 'username': 'MAHESH\\mahes', 'vms': 2.02734375}
{'name': 'svchost.exe', 'pid': 10032, 'username': None, 'vms': 1.46875}
{'name': 'ASUSSmartDisplayControl.exe', 'pid': 10044, 'username': 'MAHESH\\mahes', 'vms': 2.1875}
{'name': 'smartscreen.exe', 'pid': 10048, 'username': 'MAHESH\\mahes', 'vms': 2.4765625}
{'name': 'ArmouryHtmlDebugServer.exe', 'pid': 10260, 'username': 'MAHESH\\mahes', 'vms': 1.32421875}
{'name': 'svchost.exe', 'pid': 10276, 'username': None, 'vms': 1.640625}
{'name': 'svchost.exe', 'pid': 10320, 'username': None, 'vms': 5.703125}
{'name': 'RuntimeBroker.exe', 'pid': 10412, 'username': 'MAHESH\\mahes', 'vms': 10.203125}
{'name': 'explorer.exe', 'pid': 10544, 'username': 'MAHESH\\mahes', 'vms': 265.296875}
{'name': 'git.exe', 'pid': 10900, 'username': 'MAHESH\\mahes', 'vms': 52.5390625}
{'name': 'browserhost.exe', 'pid': 10908, 'username': 'MAHESH\\mahes', 'vms': 5.5546875}
{'name': 'svchost.exe', 'pid': 10944, 'username': None, 'vms': 4.9921875}
{'name': 'svchost.exe', 'pid': 10972, 'username': None, 'vms': 3.53125}
{'name': 'svchost.exe', 'pid': 11008, 'username': None, 'vms': 2.375}
{'name': 'chrome.exe', 'pid': 11032, 'username': 'MAHESH\\mahes', 'vms': 30.3671875}
{'name': 'msedgewebview2.exe', 'pid': 11180, 'username': 'MAHESH\\mahes', 'vms': 9.79296875}
{'name': 'UserOOBEBroker.exe', 'pid': 11568, 'username': 'MAHESH\\mahes', 'vms': 1.96484375}
{'name': 'RuntimeBroker.exe', 'pid': 11624, 'username': 'MAHESH\\mahes', 'vms': 6.68359375}
{'name': 'SearchHost.exe', 'pid': 11692, 'username': 'MAHESH\\mahes', 'vms': 167.23046875}
{'name': 'StartMenuExperienceHost.exe', 'pid': 11716, 'username': 'MAHESH\\mahes', 'vms': 82.75390625}
{'name': 'MoUsoCoreWorker.exe', 'pid': 11780, 'username': None, 'vms': 10.98828125}
